drug_code,drug_name,atc,drug_form,composition,excipients
41164512,BREAKYL*10 FILM BUCCALE 800MCG,N02AB03,FILM ORODISPERSIBILE,fentanil#fentanil citrato,"propilenglicole (e1520)#sodio benzoato (e211)#metilparabene#propilparabene#ferro ossido (e172)#acido citrico anidro#d,l alfa tocoferolo#fosfato sodico monobasico (anidro)#sodio idrossido#fosfato sodico tribasico (anidro)#policarbofil#idrossipropilcellulosa (e463)#idrossietilcellulosa#sodio caramelloso#biossido di titanio (e171)#saccarina sodica#olio di menta piperita"
29611050,MORFINA CL MOLT*1F 1ML 20MG/ML,N02AA01,SOLUZIONE INIETTABILE,morfina cloridrato,acqua per preparazioni iniettabili
33484027,TWICE*16CPS 30MG RP,N02AA01,CAPSULE RIGIDE RILASCIO PROLUNGATO,morfina solfato,Microgranuli di saccarosio e amido di mais#macrogol 4000#aquacoat ECD 30#dibutilsebacato#talco (e553b)#gelatina#biossido di titanio (e171)#eritrosina (e 127)#ferro ossido nero (e172)
37445018,WIAL*10F 1ML 10MG/ML,N02AA01,SOLUZIONE INIETTABILE,morfina cloridrato,sodio cloruro#acido cloridrico#acqua per preparazioni iniettabili
29611023,MORFINA CL MOLT*5F 1ML10MG/ML,N02AA01,SOLUZIONE INIETTABILE,morfina cloridrato,acqua per preparazioni iniettabili
49154026,MORFINA SOLF SUN*5SIR 1MG/ML,N02AA01,SOLUZIONE PER INFUSIONE,Morfina Solfato SUN,"Disodio edetato#sodio cloruro#Acido cloridrico 0,1% (per aggiustare il pH)#Sodio idrossido 0,1% (per aggiustare il pH)#acqua per preparazioni iniettabili"
30798072,MORFINA CL MONICO*5F 100MG 5ML,N02AA01,SOLUZIONE INIETTABILE,Morfina cloridrato triidrato,acqua per preparazioni iniettabili
37563172,FENPATCH*4CER 25MCG/ORA,N02AB03,CEROTTI TRANSDERMICI,fentanil,Strato adesivo in poliacrilato#Foglio di polipropilene#Inchiostro da stampa di colore blu#foglio di polietilene tereftalato (siliconato)
25624040,MS CONTIN*16CPR 100MG RP,N02AA01,COMPRESSE RILASCIO PROLUNGATO,Morfina solfato,Idrossietilcellulosa#Alcool cetostearilico#magnesio stearato (e470b)#talco (e553b)#Opadry OY-8215
33484015,TWICE*16CPS 10MG RP,N02AA01,CAPSULE RIGIDE RILASCIO PROLUNGATO,morfina solfato,microgranuli di saccarosio e amido di mais#macrogol 4000#aquacoat ECD 30#dibutilsebacato#talco (e553b)#gelatina#giallo chinolina (e 104)#biossido di titanio (e171)#ferro ossido nero (e172)
30798033,MORFINA CL MONICO*1F 10MG 1ML,N02AA01,SOLUZIONE INIETTABILE,Morfina cloridrato triidrato,acqua per preparazioni iniettabili
34715247,TICINAN*20CPR RIV 100MG R.P.,N02AA01,COMPRESSE RIVESTITE,morfina cloridrato triidrato#morfina,lattosio monoidrato#poliacrilato dispersione 30%#acido metacrilico - copolimero etilacrilato (1:1)#copolimero ammonio metacrilato tipo B#ipromellosa 4000#magnesio stearato (e470b)#macrogol 6000#talco (e553b)#biossido di titanio (e171)#ipromellosa 5#agente antischiuma siliconante SE2 MC#agente colorante “Lackgelb TF” E 104/110#agente colorante “Gelborangelack” E 110#acqua depurata
29611124,MORFINA CL MOLT*1F 50MG/5ML,N02AA01,SOLUZIONE INIETTABILE,morfina cloridrato,acqua per preparazioni iniettabili
