drug_code,drug_name,atc,drug_form,composition,excipients
21397031,TRANSENE*30CPS 10MG,N05BA05,CAPSULE RIGIDE,clorazepato dipotassico,Potassio carbonato#talco (e553b)#eritrosina (e 127)#biossido di titanio (e171)#gelatina
41598071,OLANZAPINA ACC*56CPR RIV5MG,N05AH03,COMPRESSE RIVESTITE,olanzapina,Lattosio monoidrato#cellulosa microcristallina (e460)#crospovidone (e1202)#idrossipropilcellulosa (e463)#magnesio stearato (e470b)#metilidrossipropilcellulosa#macrogol#biossido di titanio (e171)#polisorbato 80 (e433)
28592020,NICERGOLINA SANDOZ*30CPR 30MG,C04AE02,COMPRESSE,Nicergolina,calcio fosfato dibasico (e341)#carmellosa sodica#celluiosa microgranulare#magnesio stearato (e470b)#metilidrossipropilcellulosa#silicone#biossido di titanio (e171)#macrogol 6000#ferro ossido giallo (e172)
37593389,SIMVASTATINA ZEN*300CPR40MG FL,C10AA01,COMPRESSE RIVESTITE DIVISIBILI,simvastatina,Lattosio anidro#cellulosa microcristallina (e460)#amido di mais#butilidrossianisolo#magnesio stearato (e470b)#talco (e553b)#idrossipropilcellulosa (e463)#metilidrossipropilcellulosa#biossido di titanio (e171)
38592010,CLOBETASOLO P.FABRE*UNG 10G,D07AD01,UNGUENTO,clobetasolo propionato,propilenglicole (e1520)#sorbitan sesquioleato#vaselina
45199460,SOLIFENACINA TEV*100CPR10MG FL,G04BD08,COMPRESSE RIVESTITE,Solifenacina succinato,cellulosa microcristallina (e460)#povidone#crospovidone (e1202)#Lattosio#silice anidra colloidale#magnesio stearato (e470b)#polivinilalcool#biossido di titanio (e171)#macrogol 3350#Talco (E553b)#Carminio (E120)#ferro ossido (e172)#ferro ossido giallo (e172)
28580037,SPASMODIL*IM EV 6F 10MG 1ML,A03AA,SOLUZIONE INIETTABILE,Pipetanato etobromuro,Macrogol 300#alcol benzilico (e1519)#acqua per preparazioni iniettabili
44663019,NUROFEN INFLUENZA RAFFR*12CPR,M01AE51,COMPRESSE RIVESTITE,Ibuprofene#Pseudoefedrina cloridrato,Fosfato tricalcico#carmellosa sodica#cellulosa microcristallina (e460)#povidone#metilidrossipropilcellulosa#magnesio stearato (e470b)#talco (e553b)#giallo chinolina (e 104)#e 110#biossido di titanio (e171)
45512288,OLMESARTAN AM TEV*30CPR 40+5MG,C09DB02,COMPRESSE RIVESTITE,Olmesartan medoxomil#Amlodipina,cellulosa microcristallina (e460)#Lattosio monoidrato#crospovidone (e1202)#povidone#Sodio amido glicolato (patata)#Silice colloidale idrata#magnesio stearato (e470b)#polivinilalcool#macrogol#Talco (E553b)#ferro ossido giallo (e172)
41341064,CANDESARTAN DOC*70CPR 4MG,C09CA06,COMPRESSE,candesartan cilexetil,Lattosio monoidrato#amido di mais#idrossipropilcellulosa (e463)#sodio croscarmelloso#magnesio stearato (e470b)#trietilcitrato
41710029,FLIXONASE*SPRAY NAS 120D 50MCG,R01AD08,SPRAY NASALE SOSPENSIONE,fluticasone propionato,Glucosio anidro#cellulosa microcristallina–carmellosa sodica#alcool 2–feniletilico#benzalconio cloruro#polisorbato 80 (e433)#acqua depurata
32781039,CITROSIL*SOL CUT FL 250G,D08AJ01,SOLUZIONE,benzalconio cloruro,Essenza di limone#essenza di timo#nonossinolo 30#glicerolo (e422)#alchilamidobetaina#coccodietanolamide#glicole etilenico#giallo chinolina (e 104)#blu patent (E 131)#acqua depurata
25286030,BRUMIXOL*CREMA VAG 30G 1%,G01AX12,CREMA VAGINALE,ciclopiroxolamina,2 octildodecanolo#paraffina liquida#alcool cetilico#alcol stearilico#alcool miristilico#coccodietanolamide#polisorbato 60#sorbitan monostearato#alcol benzilico (e1519)#acido lattico#acqua depurata
38348049,MIRCERA*IV SC FL 300MCG 1ML,B03XA03,SOLUZIONE INIETTABILE,metossipolietilenglicole-epoetina beta,sodio diidrogeno fosfato monoidrato#Sodio solfato#mannite#Metionina#Polossamero 188#acqua per preparazioni iniettabili
46045050,DICLOFENAC EG*GEL 120G 10MG/G,M02AA15,GEL,diclofenac sodico,sodio idrossido#Idrossietilcellulosa#Carbomer#propilenglicole (e1520)#Trigliceridi a catena media#propilparabene#metilparabene#acqua depurata
41396197,LEVETIRACETAM TE*100CPR 750MG,N03AX14,COMPRESSE RIVESTITE,levetiracetam,amido di mais#povidone#sodio croscarmelloso#magnesio stearato (e470b)#Ipromellosa 6 cp#biossido di titanio (e171)#macrogol 3350#ferro ossido giallo (e172)#ferro ossido (e172)#giallo tramonto FCF (E110)
29123015,VITASPRINT COMPLEX*OS 10FL 7ML,A13A,FLACONCINI OS,l-fosfoserina#l-arginina cloridrato#l-fosfotreonina#l-glutammina#idrossocobalamina,sorbitolo 70%#aroma lampone#metile p-idrossibenzoato sodico#acqua depurata
38665042,PUERIFLU*SCIR 10FL 10ML120MG/5,N02BE01,SCIROPPO,paracetamolo,Saccarosio#macrogol 6000#sodio citrato#acido citrico anidro#saccarina sodica#metilparabene#propilparabene#aroma fragola/mandarino#acqua depurata
40476121,PIOGLITAZONE MY*28CPR 30MG,A10BG03,COMPRESSE,Pioglitazone,Lattosio monoidrato#metilidrossipropilcellulosa#silice anidra colloidale#sodio croscarmelloso#polisorbato 80 (e433)#magnesio stearato (e470b)
36870057,ORFADIN*OS SOSP FL 90ML 4MG/ML,A16AX04,SOSPENSIONE ORALE,nitisinone,metilidrossipropilcellulosa#glicerolo (e422)#polisorbato 80 (e433)#sodio benzoato (e211)#acido citrico monoidrato#sodio citrato#Aroma di fragola (artificiale)#acqua depurata
33115104,NEOMEDIL*SOL CUT 12FL 1LT,D08AJ01,SOLUZIONE CUTANEA,benzalconio cloruro#alcool etilico,olio essenziale di limone#canfora#acqua depurata
39130012,EFRACEA*56CPS 40MG RM,J01AA02,CAPSULE RIGIDE RILASCIO MODIFICATO,doxiciclina (come monoidrato),Gelatina#ferro ossido nero (e172)#ferro ossido (e172)#ferro ossido giallo (e172)#biossido di titanio (e171)#shellac#propilenglicole (e1520)#Indaco Carminio - lacca alluminio#Rosso Allura AC - lacca alluminio (E129)#Blu Brillante FCF - lacca alluminio#Giallo D &C N. 10 - lacca alluminio#metilidrossipropilcellulosa#acido metacrilico - copolimero etilacrilato (1:1)#trietilcitrato#talco (e553b)#peg 400#polisorbato 80 (e433)#amido di mais#Saccarosio
20702371,MAALOX*60CPR MAST 400MG+400MG,A02AD01,COMPRESSE MASTICABILI,magnesio idrossido#ossido di alluminio idrato,Saccarosio polvere con amido#sorbitolo (e420)#mannite#magnesio stearato (e470b)#menta aroma polvere (contiene alcol benzilico)#saccarina sodica#saccarosio
40295089,LEVETIRACETAM EG*60CPR 750MG,N03AX14,COMPRESSE RIVESTITE,levetiracetam,cellulosa microcristallina (e460)#Copovidone#silice anidra colloidale#magnesio stearato (e470b)#polivinilalcool#biossido di titanio (e171)#macrogol 3350#talco (e553b)#Giallo tramonto FCF sale di alluminio (E110)#ferro ossido (e172)
47859018,FULVESTRANT EG*IM 1SIR 250MG,L02BA03,SOLUZIONE INIETTABILE,fulvestrant,Etanolo (96 percento)#alcol benzilico (e1519)#Benzoato di benzile#Olio di ricino raffinato
40754018,LATANOPROST TIMOL SAND*COLL1FL,S01ED51,COLLIRIO SOLUZIONE,latanoprost#timololo maleato,Benzalconio cloruro#sodio diidrogeno fosfato diidrato#disodio fosfato anidro#sodio cloruro#acqua per preparazioni iniettabili#idrossido di sodio o acido cloridrico
34725046,NUTRIPLUS LIPID*EV 5SA 1250ML,B05BA10,EMULSIONE PER INFUSIONE,Glucosio-Monoidrato#sodio diidrogeno fosfato diidrato#Acetato di zinco diidrato#olio di soia raffinato#Trigliceridi a catena media#Isoleucina#leucina#Lisina cloridrato#Metionina#Fenilalanina#Treonina#Triptofano#Valina#arginina#Istidina cloridrato monoidrato#Alanina#Acido aspartico#Acido glutammico#Glicina#Prolina#Serina#sodio idrossido#sodio cloruro#Acetato di sodio triidrato#Acetato di potassio#Acetato di magnesio tetraidrato#calcio cloruro,acido citrico monoidrato#glicerolo (e422)#Lecitina d’uovo#Sodio oleato#acqua per preparazioni iniettabili
700064431,"COMIRNATY*IM 12FL 0,45ML",J07BN01,CONCENTRATO PER DISPERSIONE INIETTABILE,Tozinameran,"((4-idrossibutil)azanediil)bis(esano-6,1-diil)bis(2-esildecanoato) (ALC-0315)#2-[(polietilenglicole)-2000]-N,N-ditetradecilacetammide (ALC-0159)#1,2-distearoil-sn-glicero-3-fosfocolina (DSPC)#Colesterolo#Potassio cloruro#potassio diidrogeno fosfato#sodio cloruro#disodio fosfato diidrato#Saccarosio#acqua per preparazioni iniettabili#sodio idrossido (per aggiustamento del ph)#acido cloridrico (per aggiustamento del ph)"
41951272,ESOMEPRAZOLO AUR*56CPS 40MG,A02BC05,CAPSULE GASTRORESISTENTI,Esomeprazolo (come magnesio diidrato),"Sfere di zucchero (saccarosio e amido di mais)#metilidrossipropilcellulosa#Emulsione di dimeticone al 35% contenente dimeticone, propil-p-idrossibenzoato (E216), metil-p-idrossibenzoato (E218), acido sorbico, sodio benzoato, polietilenglicole sorbitano monolaurato, octilfenossi polietossietanolo e propilenglicole#polisorbato 80 (e433)#mannite#Monogliceridi diacetilati#talco (e553b)#Copolimero acido metacrilico-etilacrilato (1:1) contenente copolimero dell’acido metacrilico e etilacrilato, sodio laurilsolfato e polisorbato 80#trietilcitrato#Stearoil-macrogolgliceridi#ferro ossido giallo (e172)#biossido di titanio (e171)#Gelatina"
39045101,VENLAFAXINA EU*28CPS 75MG RP,N06AX16,CAPSULE RIGIDE RILASCIO PROLUNGATO,venlafaxina cloridrato,Sfere di zucchero (contenenti saccarosio)#etilcellulosa (e462)#idrossipropilcellulosa (e463)#metilidrossipropilcellulosa#Talco (E553b)#dibutilsebacato#Acido oleico#silice anidra colloidale#Gelatina#sodio laurilsolfato (e487)#Giallo tramonto FCF (E110)#giallo chinolina (e 104)#biossido di titanio (e171)
34625398,ARTILOG*10X30 100MG AL/PVC,M01AH01,CAPSULE RIGIDE,celecoxib,lattosio monoidrato#sodio laurilsolfato (e487)#povidone#sodio croscarmelloso#magnesio stearato (e470b)#Gelatina#biossido di titanio (e171)#sodio laurilsolfato (e487)#sorbitan monolaurato#indigotina (e 132)#shellac#propilenglicole (e1520)
41444011,ATORVASTATINA VIA*500CPR 10MG,C10AA05,COMPRESSE RIVESTITE,atorvastatina#atorvastatina-calcio triidrato,Calcio carbonato#cellulosa microcristallina (e460)#Lattosio monoidrato#sodio croscarmelloso#polisorbato 80 (e433)#idrossipropilcellulosa (e463)#magnesio stearato (e470b)#metilidrossipropilcellulosa#Macrogol 8000#biossido di titanio (e171)#talco (e553b)#simeticone#Polisorbato 65#Macrogol stearato 400#Glicerolo monostearato 40-55#Metilcellulosa#gomma xantan#Acido benzoico (E 210)#Acido sorbico#Acido solforico
37770068,PERINDOPRIL DOC*30CPR 4MG,C09AA04,COMPRESSE DIVISIBILI,Perindopril tert-butilamina,Lattosio anidro#magnesio stearato (e470b)
26576102,LIPOFUNDIN S*INFUS 20% 100ML,B05BA02,PREPARAZIONE INIETTABILE,olio di soia,Lecitina d’uovo#glicerolo (e422)#sodio oleato#a-tocoferolo#acqua p.p.i.
34627012,VITAMINA C TEVA*10CPR EFF 1G,A11GA01,COMPRESSE EFFERVESCENTI,acido ascorbico,sodio bicarbonato#saccarosio#acido tartarico#acido citrico (e330)#leucina#aroma citronjus#sodio cloruro#saccarina sodica#aspartame#colorante E 110 (giallo tramonto)#colorante E 102 (tartrazina)
26322026,MIOTONAL*OS SOL 10FL MONOD 1G,A16AA01,FLACONCINI OS,L-carnitina sale interno,acido citrico monoidrato#P-ossibenzoato di metile#propilparabene#saccarina sodica#Aroma di agrumi#acqua depurata
38030108,CEFUROXIMA HEX*10CPR RIV 500MG,J01DC02,COMPRESSE RIVESTITE,cefuroxima#acetossietilcefuroxima,sodio croscarmelloso#crospovidone (e1202)#sodio laurilsolfato (e487)#silice precipitata#olio di ricino idrogenato#metilcellulosa#metilidrossipropilcellulosa#cellulosa microcristallina (e460)#macrogol 8 stearato#talco (e553b)#biossido di titanio (e171)
41690138,"IRBESARTAN ID LU*14CPR300+12,5",C09DA04,COMPRESSE RIVESTITE,irbesartan#idroclorotiazide,mannitolo crospovidone#silice colloidale anidra poloxamero 80#povidone K 30 magnesio stearato#metilidrossipropilcellulosa#biossido di titanio (e171)#macrogol 3350#ferro ossido giallo (e172)#ferro ossido (e172)#ferro ossido nero (e172)
47925019,SOLARAZE*GEL 25G 3%,D11AX18,GEL,diclofenac sodico,Sodio ialuronato#alcol benzilico (e1519)#macrogol monometiletere 350#acqua depurata
45320140,XELJANZ*91CPR 11MG RP,L04AA29,COMPRESSE RILASCIO PROLUNGATO,tofacitinib,sorbitolo (e420)#idrossietilcellulosa#copovidone#magnesio stearato (e470b)#cellulosa acetato#idrossipropilcellulosa (e463)#metilidrossipropilcellulosa#biossido di titanio (e171)#triacetina ferro ossido rosso (E172)#shellac#ammonio idrossido (e527)#propilenglicole (e1520)#ferro ossido nero (e172)
38752034,DICLOFENAC PHAR*10CER MED140MG,M02AA15,CEROTTI MEDICATI,diclofenac sodico,glicerolo (e422)#propilenglicole (e1520)#diisopropil adipato#sorbitolo liquido (cristallizzabile) (E420)#carmellosa sodica#acido poliacrilico sale di sodio#butile metacrilato copolimero basico#disodio edetato#sodio sulfito (E221)#butilidrossitoluene e321#alluminio-potassio bis(solfato)#silice anidra colloidale#caolino leggero (naturale)#macrogol lauril etere (9 EO unità)#levomentolo#acido tartarico#acqua depurata#supporto in tessuto non tessuto di poliestere#film protettivo in polipropilene
46611024,EFFERALGANMED*16CPR EFF 500MG,N02BE01,COMPRESSE EFFERVESCENTI,paracetamolo,acido citrico (e330)#sodio bicarbonato#sodio carbonato#sorbitolo (e420)#sodio docusato#povidone#saccarina sodica#sodio benzoato (e211)
53037,EPHYNAL*30CPS 300MG,A11HA03,CAPSULE MOLLI,α-tocoferolo acetato (Vit. E),Olio di arachidi#gelatina#glicerolo (e422)#sodio etil p-idrossibenzoato#sodio propil p-idrossibenzoato#etilvanillina#colorante di tipo naturale E141
41044114,BYSABEL*COLLIRIO FL 6MG/ML 5ML,S01GX13,COLLIRIO,bilastina,idrossipropil β-ciclodestrina#Metilcellulosa#Sodio ialuronato#glicerolo (e422)#Sodio idrossido 1 N (per la regolazione del pH)#acqua per preparazioni iniettabili
39929397,AMISULPRIDE SAN*198CPR RIV400M,N05AL05,COMPRESSE RIVESTITE,amisulpride,Lattosio monoidrato#magnesio stearato (e470b)#Metilcellulosa#cellulosa microcristallina (e460)#sodio amido glicolato (tipo a)#Macrogol 6000#Copolimero di metacrilato butilato basico (Eudragit E 100)#talco (e553b)#biossido di titanio (e171)
34112033,GENIAD*OS GTT 10ML 2MCG/1ML,A11CC03,GOCCE ORALI SOLUZIONE,Alfacalcidolo,"d,l alfa tocoferolo#olio di arachidi"
34385017,PASTA IODOFORM.RADIOPACA*15G,D04AB,PASTA,iodoformio#para-clorofenolo#canfora#mentolo naturale,vaselina#Lanolina#Silice pirogenica amorfa super dispersa
44319515,OLMESARTAN ID EG*156CPR 40+25,C09DA08,COMPRESSE RIVESTITE,olmesartan medoxomil#idroclorotiazide,Lattosio monoidrato#cellulosa microcristallina (e460)#crospovidone (e1202)#silice anidra colloidale#magnesio stearato (e470b)#metilidrossipropilcellulosa#macrogol#biossido di titanio (e171)#ferro ossido giallo (e172)#Ossido di ferro (III) rosso (E172)
45566054,IDROCORTISONE BRUNO*50CPR 10MG,H02AB09,COMPRESSE SOLUBILI,idrocortisone,sodio bicarbonato#sodio citrato#Polivinilpirrolidone (1201)#mannite#Eritrosina Idacol 603087 (E127)#sodio benzoato (e211)#Macrogol 6000
38919243,VIMPAT*14CPR RIV 50MG,N03AX18,COMPRESSE RIVESTITE,lacosamide,cellulosa microcristallina (e460)#idrossipropilcellulosa (e463)#Idrossipropilcellulosa a bassa sostituzione#silice anidra colloidale#Crospovidone (poliplasdone XL-10 di grado farmaceutico)#magnesio stearato (e470b)#polivinilalcool#macrogol 3350#talco (e553b)#biossido di titanio (e171)#ferro ossido (e172)#ferro ossido nero (e172)#indigotina (e 132)
23805017,TOSSEFLUID*SCIR 150ML 5%,R05CB03,SCIROPPO,Carbocisteina,Sorbitolo 70%#p-ossibenzoato di metile#aroma lampone#acqua deionizzata
32634014,LENIL*CREMA 40G 1%,D08AC02,CREMA DERMATOLOGICA,Clorexidina dicloridrato,Vedere par. 2
45566015,IDROCORTISONE BRUNO*4CPR 10MG,H02AB09,COMPRESSE SOLUBILI,idrocortisone,sodio bicarbonato#sodio citrato#Polivinilpirrolidone (1201)#mannite#Eritrosina Idacol 603087 (E127)#sodio benzoato (e211)#Macrogol 6000
43685116,TENOFOVIR DISOPROXIL TEV*10CPR,J05AF07,COMPRESSE RIVESTITE,tenofovir disoproxil fosfato,cellulosa microcristallina (e460)#Lattosio monoidrato#amido pregelatinizzato#Olio vegetale idrogenato#sodio laurilsolfato (e487)#polivinilalcool#biossido di titanio (e171)#macrogol#Talco (E553b)#indigo carmine lacca alluminio (e132)#Acido carminico (E120)
48201216,LACOSAMIDE UCB*168CPR 150MG,N03AX18,COMPRESSE RIVESTITE,Lacosamide,cellulosa microcristallina (e460)#idrossipropilcellulosa (e463)#Idrossipropilcellulosa a bassa sostituzione#silice anidra colloidale#Crospovidone (poliplasdone XL-10 di grado farmaceutico)#magnesio stearato (e470b)#polivinilalcool#macrogol 3350#talco (e553b)#biossido di titanio (e171)#ferro ossido giallo (e172)#ferro ossido (e172)#ferro ossido nero (e172)
27089022,BRONCOMNES*GRAT 30BUST 100MG,R03DA,GRANULATO,Acefillinato di ambroxolo,carmellosa sodica#saccarina sodica#aroma lampone#saccarosio
9426014,POLIJODURATO*COLL 10ML,S01XA20,COLLIRIO,Sodio ioduro#Potassio ioduro#Rubidio ioduro#Calcio cloruro,Acido borico#Borace#metilparabene#propilparabene#acqua per preparazioni iniettabili
39859018,XENICAL*84CPS 120MG,A08AB01,CAPSULE RIGIDE,orlistat,"cellulosa microcristallina (e460)#sodio amido glicolato (tipo a)#povidone#sodio laurilsolfato (e487)#talco (e553b)#gelatina#indigotina (e 132)#biossido di titanio (e171)#inchiostro da stampa per uso alimentare (ossido di ferro nero, soluzione concentrata di ammonio, potassio idrossido, lacca, glicole propilenico)"
24986073,ECODERGIN*3 OV VAG 150MG,G01AF05,OVULI VAGINALI,Econazolo nitrato,Policarbofil#miscela di mono-di-gliceridi di acidi grassi
20766034,PLASIL*OS GTT 20ML 4MG/ML,A03FA01,GOCCE ORALI SOLUZIONE,metoclopramide monocloridrato monoidrato,acido sorbico#sodio metabisolfito (e223)#olio di ricino poliossietilenato#saccarina#acqua depurata
29633017,GINVAPAST*PASTA GENGIV 20G,A01AD11,PASTA,Cetilpiridinio cloruro#Procaina cloridrato#Calcio gluconato,Caolino sterile#Ess. Menta trirettificata#Lanolina#Alcool cetilico#Olio di vaselina#Olio arachidi idrogenato#vaselina#acqua
48369060,"FOCLIVIA*IM 10SIR 0,5ML",J07BB02,SOSPENSIONE INIETTABILE,Antigeni di superficie del virus dell’influenza (emoagglutinina e neuraminidasi) del ceppo: A/Vietnam/1194/2004 (H5N1),sodio cloruro#Potassio cloruro#potassio diidrogeno fosfato#disodio fosfato diidrato#Magnesio cloruro esaidrato#calcio cloruro#acqua per preparazioni iniettabili
44365031,KETODOTASK*OS GRAT 30BUST 40MG,M01AE03,GRANULATO,ketoprofene sale di lisina,mannite#xilitolo#aroma lime#aroma (limone)#aroma frescofort#aspartame#talco (e553b)#copolimero di metacrilato butilato basico#magnesio stearato (e470b)#silice colloidale idrata#metilidrossipropilcellulosa#acido stearico#povidone#sodio laurilsolfato (e487)
43779139,TADALAFIL MY*30CPR RIV 5MG,G04BE08,COMPRESSE RIVESTITE,Tadalafil,lattosio anidro#poloxamer 188#cellulosa microcristallina (pH101)#povidone (K-25)#sodio croscarmelloso#magnesio stearato (e470b)#sodio laurilsolfato (e487)#silice anidra colloidale#lattosio monoidrato#metilidrossipropilcellulosa#biossido di titanio (e171)#ferro ossido giallo (e172)#triacetina (e1518)
700097569,"MOLIBDENO CLORURO*0,5% PATCH",V04CL,LIQUIDO USO ESTERNO,MOLIBDENO CLORURO,Paraffina molle bianca (petrolato) o acqua purificata#Paraffina liquida leggera#Alcoli della lanolina#Paraffina dura#Sorbitan sesquioleato#Miscela di profumi#Muschio di quercia assoluto#Idrossicitronellale#Isoeugenolo#Aldeide cinnamica
39542182,INSTANYL*2SPR NAS 200MCG MONOD,N02AB03,SPRAY NASALE SOLUZIONE,fentanil#fentanil citrato,sodio diidrogeno fosfato diidrato#disodio fosfato diidrato#acqua per preparazioni iniettabili
22511190,"SALONPAS*10CER MEDIC 6,5x4,2CM",M02AC,CEROTTI MEDICATI,Metile salicilato#Levomentolo#canfora,Zinco ossido#α-Tocoferolo acetato#Gomma naturale#Gomma butilica#Estere del glicerolo di colofonia idrogenata#Estere del glicerolo di colofonia maleata#Polibutilene#Silice colloidale idrata#biossido di titanio (e171)#Amido acrilato 1000#butilidrossitoluene e321#Profumo
39784160,FENVEL*20CER 25MCG/ORA,N02AB03,CEROTTI TRANSDERMICI,fentanil,Pellicola adesiva in poliacrilato#Foglio di polipropilene#Inchiostro blu per stampa#foglio di polietilene tereftalato (siliconato)
43735149,SEPTOLETE*32PAST3+1MG LIM FIOR,R02AX03,PASTIGLIE,benzidamina cloridrato#cetilpiridinio cloruro,Olio di menta piperita#Levomentolo#Sucralosio (E955)#acido citrico (e330)#Isomalto (E953)#Aroma di limone (contenente idrossianisolo butilato (E320))#Aroma di fiori di sambuco#Curcumina (E100) (contenente sodio benzoato (E211))#Complessi di clorofillina (E141)
37563020,FENPATCH*5CER 25MCG/ORA,N02AB03,CEROTTI TRANSDERMICI,Fentanil,Strato adesivo in poliacrilato#Foglio di polipropilene#Inchiostro da stampa di colore blu#foglio di polietilene tereftalato (siliconato)
37596121,TETRASPAN*10SACCHE1000ML100MG/,B05AA07,PREPARAZIONE INIETTABILE,"amido poli(ossi-2-idrossietilico) (HES) 100,0 g#Cloruro di sodio 6,25 g#Cloruro di potassio 0,30 g#Cloruro di calcio diidrato 0,37 g#Magnesio cloruro esaidrato 0,20 g#Sodio acetato triidrato 3,27 g#Acido malico 0,67 g",sodio idrossido#acqua per iniezioni
39784020,FENVEL*3CER 25MCG/ORA,N02AB03,CEROTTI TRANSDERMICI,fentanil,Pellicola adesiva in poliacrilato#Foglio di polipropilene#Inchiostro blu per stampa#foglio di polietilene tereftalato (siliconato)
39784119,FENVEL*4CER 25MCG/ORA,N02AB03,CEROTTI TRANSDERMICI,fentanil,Pellicola adesiva in poliacrilato#Foglio di polipropilene#Inchiostro blu per stampa#foglio di polietilene tereftalato (siliconato)
9121017,NEOUSTIOL*POM OFT 10G,S01XA,POMATA OFTALMICA,sodio citrato#Acido paraminobenzoico (sale sodico)#Procaina cloridrato,Olio di fegato di merluzzo#lanolina anidra#acqua depurata#vaselina
35399094,ACTIQ*3PASTL MUCOSA OS 600MCG,N02AB03,PASTIGLIE,fentanil citrato,"Destrani idrati (contenenti glucosio)#acido citrico (e330)#Sodio fosfato dibasico#Aroma artificiale ai frutti di bosco (maltodestrina (contenente glucosio), glicole propilenico, aromi artificiali e trietilcitrato)#magnesio stearato (e470b)"
36730075,FENTANIL HEXAL*3CER 50MCG/ORA,N02AB03,CEROTTI TRANSDERMICI,fentanil,polietilene-tereftalato/etilenvinilacetato-copolimero#etanolo 96 %#idrossietilcellulosa#acqua depurata#etilenvinilacetato-copolimero#silicone medico adesivo#polietilene-tereftalato
37405053,MATRIFEN*20CER TRANSD 12MCG/OR,N02AB03,CEROTTI TRANSDERMICI,fentanil,"Glicole dipropilenico#idrossipropilcellulosa (e463)#Dimeticone#silicone adesivo (amino-resistente)#Membrana di rilascio, etilenvinilacetato (EVA)#Pellicola di copertura, film in polietilene tereftalato (PET)#Pellicola protettiva asportabile, film in poliestere rivestito con fluoropolimero#inchiostro da stampa"
39014055,ALGHEDON*16CER 25MCG/ORA,N02AB03,CEROTTI TRANSDERMICI,fentanil,"Film di polietilene tereftalato con rivestimento di rilascio in fluorocarbonio#Film di polietilene tereftalato pigmentato/etilen-vinil-acetato copolimero#Silicone adesivo (polidimetilsiloxano, resina di silicati)#Polidimetilsiloxano#Film di etilene vinilacetato copolimero#inchiostri di stampa (beige e arancione o rosso o verde o blu o grigio)"
39542016,INSTANYL*SPRAY NAS 10D 50MCG/D,N02AB03,SPRAY NASALE SOLUZIONE,fentanil,sodio diidrogeno fosfato diidrato#disodio fosfato diidrato#acqua depurata
42415036,VELLOFENT*15CPR SUBL 67MCG,N02AB03,COMPRESSE SUBLINGUALI,fentanil,"calcio fosfato bibasico, anidro#cellulosa microcristallina (e460)#disodio fosfato anidro#metilidrossipropilcellulosa#macrogol#magnesio stearato (e470b)#Maltodestrina#biossido di titanio (e171)#triacetina (e1518)#Inchiostro da stampa [gommalacca#ferro ossido nero (e172)"
42415113,VELLOFENT*15CPR SUBL 133MCG,N02AB03,COMPRESSE SUBLINGUALI,fentanil,"calcio fosfato bibasico, anidro#cellulosa microcristallina (e460)#disodio fosfato anidro#metilidrossipropilcellulosa#macrogol#magnesio stearato (e470b)#Maltodestrina#biossido di titanio (e171)#triacetina (e1518)#Inchiostro da stampa [gommalacca, ferro ossido nero (E172)]"
41164334,BREAKYL*28 FILM BUCCALE 800MCG,N02AB03,FILM ORODISPERSIBILE,fentanil#fentanil citrato,"propilenglicole (e1520)#sodio benzoato (e211)#metilparabene#propilparabene#ferro ossido (e172)#acido citrico anidro#d,l alfa tocoferolo#fosfato sodico monobasico (anidro)#sodio idrossido#fosfato sodico tribasico (anidro)#policarbofil#idrossipropilcellulosa (e463)#idrossietilcellulosa#sodio caramelloso#biossido di titanio (e171)#saccarina sodica#olio di menta piperita"
42415481,VELLOFENT*30CPR SUBL 800MCG,N02AB03,COMPRESSE SUBLINGUALI,fentanil#fentanil citrato,"calcio fosfato bibasico, anidro#cellulosa microcristallina (e460)#disodio fosfato anidro#metilidrossipropilcellulosa#macrogol#magnesio stearato (e470b)#Maltodestrina#biossido di titanio (e171)#triacetina (e1518)#Inchiostro da stampa [gommalacca#ferro ossido nero (e172)"
45975226,IFYLTAN*3PASTL 1600MCG,N02AB03,PASTIGLIE,fentanil,"Destrati idrati#acido citrico anidro#disodio fosfato anidro#magnesio stearato (e470b)#Aroma artificiale ai frutti di bosco (componenti principali amido di tapioca, gomma arabica (E 414) e triacetina)"
41164296,BREAKYL*10 FILM BUCCALE 600MCG,N02AB03,FILM ORODISPERSIBILE,fentanil#fentanil citrato,"propilenglicole (e1520)#sodio benzoato (e211)#metilparabene#propilparabene#ferro ossido (e172)#acido citrico anidro#d,l alfa tocoferolo#fosfato sodico monobasico (anidro)#sodio idrossido#fosfato sodico tribasico (anidro)#policarbofil#idrossipropilcellulosa (e463)#idrossietilcellulosa#sodio caramelloso"
37563184,FENPATCH*4CER 50MCG/ORA,N02AB03,CEROTTI TRANSDERMICI,fentanil,Strato adesivo in poliacrilato#Foglio di polipropilene#Inchiostro da stampa di colore blu#foglio di polietilene tereftalato (siliconato)
35399157,ACTIQ*15PASTL MUCOSA OS 800MCG,N02AB03,PASTIGLIE,fentanil citrato,"Destrani idrati (contenenti glucosio)#acido citrico (e330)#Sodio fosfato dibasico#Aroma artificiale ai frutti di bosco (maltodestrina (contenente glucosio), glicole propilenico, aromi artificiali e trietilcitrato)#magnesio stearato (e470b)"
37609157,FENTANIL ZENT*10CER 100MCG/OR,N02AB03,CEROTTI TRANSDERMICI,Fentanil,strato adesivo poliacrilico#foglio di polipropilene#inchiostro da stampa di colore blu#foglio di polietilene tereftalato (siliconato)
